[2026-02-12 09:42:19] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-02-11
正在获取论文...
[NO] 31/200 | Backstepping Control of PDEs on Domains with Graph-Monotone Boundaries
[NO] 32/200 | On generating Special Quasirandom Structures: Optimization for the DFT computational efficiency
[NO] 33/200 | Viewpoint Recommendation for Point Cloud Labeling through Interaction Cost Modeling
[NO] 34/200 | ICA: Information-Aware Credit Assignment for Visually Grounded Long-Horizon Information-Seeking Agents
[NO] 35/200 | Singular Port-Hamiltonian Systems Beyond Passivity
[NO] 36/200 | Enhanced effective masses, spin-orbit polarization, and dispersion relations in 2D hole gases under strongly asymmetric confinement
[NO] 37/200 | Chemistry in the High expansion-velocity C-rich evolved star AFGL2233. Isotopic ratios, peculiarities and evolutionary status
[NO] 38/200 | Personalized PageRank Estimation in Undirected Graphs
[NO] 39/200 | Mirror descent actor-critic methods for entropy regularised MDPs in general spaces: stability and convergence
[NO] 40/200 | FPGA Implementation of Sketched LiDAR for a 192 x 128 SPAD Image Sensor
[NO] 41/200 | Reference Output Tracking in Boolean Control Networks
[NO] 42/200 | The formation of inhomogeneities in gravitational string like mode
[NO] 43/200 | The Effect of Design Thinking on Creative & Innovation Processes: An Empirical Study Across Different Design Experience Levels
[NO] 44/200 | The metric geometry of paper surfaces under geometric constraints
[NO] 45/200 | Resource-Efficient RGB-Only Action Recognition for Edge Deployment
[NO] 46/200 | Beyond Confidence: The Rhythms of Reasoning in Generative Models
[NO] 47/200 | DMP-3DAD: Cross-Category 3D Anomaly Detection via Realistic Depth Map Projection with Few Normal Samples
[NO] 48/200 | RSHallu: Dual-Mode Hallucination Evaluation for Remote-Sensing Multimodal Large Language Models with Domain-Tailored Mitigation
[NO] 49/200 | The $σ_-$ Cohomology Analysis for Coxeter HS $B_2$ model
[NO] 50/200 | VulReaD: Knowledge-Graph-guided Software Vulnerability Reasoning and Detection
[NO] 51/200 | Data Reductions for the Strong Maximum Independent Set Problem in Hypergraphs
[NO] 52/200 | Co-jump: Cooperative Jumping with Quadrupedal Robots via Multi-Agent Reinforcement Learning
[NO] 53/200 | Privacy-Utility Tradeoffs in Quantum Information Processing
[NO] 54/200 | Prolongations of $(3, 6)$-distributions by singular curves
[NO] 55/200 | Towards Long-Lived Robots: Continual Learning VLA Models via Reinforcement Fine-Tuning
